att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,label
0.0049813200498132005,0.010869565217391304,0.0001944633506035309,0.0025940747830977312,0.3670886075949368,0.6343283582089553,0.0002684699232943076,0.00021205695243865495,0.00034687594848892164,0.0015571473061351605,0
0.0062266500622665,0.010869565217391304,0.00024307918825441363,0.002160177134525031,0.3976793248945148,0.8731343283582089,0.0005248284214775939,0.0003332323538321721,0.000650392403416728,0.0012457178449081284,0
0.0062266500622665,0.030797101449275364,0.0007014570861055936,0.005573629451408118,0.2478902953586498,0.7238805970149255,0.0006923698021800565,0.0007270524083611027,0.001582621514980705,0.0018685767673621925,0
0.0049813200498132005,0.010869565217391304,0.0001944633506035309,0.0025940747830977312,0.33649789029535865,0.7260127931769724,0.0006721840936616875,0.00018176310209027567,0.00041191518883059445,0.0006228589224540642,0
0.0062266500622665,0.0036231884057971015,7.639631630852999e-05,0.0009180752821731381,0.4725738396624473,0.9402985074626865,0.00025232135647961244,6.058770069675856e-05,0.00021679746780557603,0.0009342883836810962,0
0.0049813200498132005,0.012681159420289856,0.00022918894892558998,0.00296651911663653,0.5253164556962027,1.0,0.0002906742026645135,0.0004544077552256892,0.0007154316437584008,0.002491435689816257,0
0.0062266500622665,0.005434782608695652,0.0001180670342950009,0.0012290663006780348,0.3850210970464135,0.6886993603411513,0.0003027856277755349,9.088155104513784e-05,0.00021679746780557603,0.0009342883836810962,0
0.0049813200498132005,0.009057971014492754,0.0001597377522814718,0.0022216304495589327,0.2964135021097047,0.2889125799573561,0.0018167137666532096,9.088155104513784e-05,6.50392403416728e-05,0.0,0
0.0049813200498132005,0.007246376811594203,0.0001250121539594127,0.001849186116020134,0.3670886075949368,0.48827292110874204,0.0018167137666532096,9.088155104513784e-05,0.0001300784806833456,0.0,0
0.0049813200498132005,0.010869565217391304,0.0001944633506035309,0.0025940747830977312,0.4578059071729958,0.9083155650319831,0.0015139281388776747,0.0003029385034837928,0.0005419936695139401,0.0003114294612270321,0
